,Unnamed: 0,titre,type,reference,departement,date,lien,departement nb,Categorie
139,139,COMMIS DE CUISINE - H/F,Fonction publique Hospitalière,2024-1447082,Vosges (88),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/commis-de-cuisine---hf-reference-2024-1447082/,88.0,A
140,140,"Attaché d'administration, Chargé de mission VIF- Cabinet des chefs de juridiction - TJ Sarreguemines H/F",Fonction publique de l'État,2024-1446774,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/attache-d-administration-charge-de-mission-vif--cabinet-des-chefs-de-juridiction---tj-sarreguemines-hf-reference-2024-1446774/,57.0,A
141,141,Référent(e) Laïcité et Citoyenneté en direction interrégionale H/F,Fonction publique de l'État,2024-1446996,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/referente-laicite-et-citoyennete-en-direction-interregionale-hf-reference-2024-1446996/,54.0,A
142,142,Ingénieur.e d'études en sciences humaines et sociales,Fonction publique de l'État,2024-1445493,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/ingenieure-d-etudes-en-sciences-humaines-et-sociales-reference-2024-1445493/,67.0,A
143,143,Chargé(e) de mission écomobilité H/F,Fonction publique de l'État,2024-1446990,Haute-Marne (52),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-ecomobilite-hf-reference-2024-1446990/,52.0,A
144,144,Conseiller(e) Technique Territorial(e) H/F,Fonction publique de l'État,2024-1446988,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/conseillere-technique-territoriale-hf-reference-2024-1446988/,54.0,A
145,145,Conseiller(e) Technique en charge du Placement Judiciaire H/F,Fonction publique de l'État,2024-1446980,Aube (10),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/conseillere-technique-en-charge-du-placement-judiciaire-hf-reference-2024-1446980/,10.0,A
146,146,Conseiller Technique Territorial H/F,Fonction publique de l'État,2023-1336433,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/conseiller-technique-territorial-hf-reference-2023-1336433/,54.0,A
147,147,Inspecteur(trice) du travail chargé(e) du contrôle des entreprises Unité de contrôle 1 - section 2,Fonction publique de l'État,2024-1446959,Marne (51),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/inspecteurtrice-du-travail-chargee-du-controle-des-entreprises-unite-de-controle-1---section-2-reference-2024-1446959/,51.0,A
148,148,Directeur-trice de service territorial de milieu ouvert H/F,Fonction publique de l'État,2022-1002852,Marne (51),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-trice-de-service-territorial-de-milieu-ouvert-hf-reference-2022-1002852/,51.0,A
149,149,Responsable de l'appui au pilotage territorial H/F,Fonction publique de l'État,2024-1446947,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-de-l-appui-au-pilotage-territorial-hf-reference-2024-1446947/,54.0,A
150,150,Chargé(e) de mission appui territoirial - Adjoint(e) au chef de service économie et transition écolo H/F,Fonction publique de l'État,2024-1446931,Haute-Marne (52),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-appui-territoirial---adjointe-au-chef-de-service-economie-et-transition-ecolo-hf-reference-2024-1446931/,52.0,A
151,151,IFIP - ESI67 - Informaticien Devops H/F,Fonction publique de l'État,MEF_2024-14845,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/ifip---esi67---informaticien-devops-hf-reference-MEF_2024-14845/,67.0,A
152,152,Responsable du département des contrats immobiliers (H/F),Fonction publique de l'État,2023-1411599,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-du-departement-des-contrats-immobiliers-hf-reference-2023-1411599/,67.0,A
153,153,Médiateur de Ressources et Services formation (H/F) - A55,Fonction publique de l'État,2024-1446903,Meuse (55),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/mediateur-de-ressources-et-services-formation-hf---a55-reference-2024-1446903/,55.0,A
154,154,Chargé.e d'économie d'énergie et de sensibilisation,Fonction publique de l'État,2023-1359729,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-d-economie-d-energie-et-de-sensibilisation-reference-2023-1359729/,67.0,A
155,155,IPA CMP et CATTP Neuves Maisons H/F,Fonction publique Hospitalière,2024-1446776,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/ipa-cmp-et-cattp-neuves-maisons-hf-reference-2024-1446776/,54.0,A
156,156,"Adjoint au chef du bureau du contrôle de la légalité, de l'intercommunalité et du conseil aux CT",Fonction publique de l'État,MINT_BA054ATA-78695,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/adjoint-au-chef-du-bureau-du-controle-de-la-legalite-de-l-intercommunalite-et-du-conseil-aux-ct-reference-MINT_BA054ATA-78695/,54.0,A
157,157,Chargé de mission des politiques de prévention de la radicalisation et du repli communautaire,Fonction publique de l'État,MINT_BA054ATA-78694,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-mission-des-politiques-de-prevention-de-la-radicalisation-et-du-repli-communautaire-reference-MINT_BA054ATA-78694/,54.0,A
158,158,"Attaché d'administration, Chargé de mission du Procureur de la République - TJ Metz H/F",Fonction publique de l'État,2024-1445576,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/attache-d-administration-charge-de-mission-du-procureur-de-la-republique---tj-metz-hf-reference-2024-1445576/,57.0,A
159,159,Chargé(e) de mission développement économique et industriel,Fonction publique de l'État,MINT_BA068ATA-78691,Haut Rhin (68),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-developpement-economique-et-industriel-reference-MINT_BA068ATA-78691/,68.0,A
160,160,ASN/CHALONS/OJ/Inspecteur(trice) de la sureté nucléaire H/F,Fonction publique de l'État,2023-1353655,Marne (51),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/asnchalonsojinspecteurtrice-de-la-surete-nucleaire-hf-reference-2023-1353655/,51.0,A
161,161,Chargé de l'appui au pilotage - responsable qualité,Fonction publique de l'État,2023-1349880,Vosges (88),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-l-appui-au-pilotage---responsable-qualite-reference-2023-1349880/,88.0,A
162,162,ASN/CHALONS/IC/Inspecteur(trice) de la sureté nucléaire H/F,Fonction publique de l'État,2023-1332711,Marne (51),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/asnchalonsicinspecteurtrice-de-la-surete-nucleaire-hf-reference-2023-1332711/,51.0,A
163,163,Chargé(e) de mission VIF au cabinet des chefs du tribunal judiciaire d'Epinal H/F,Fonction publique de l'État,2023-1377448,Vosges (88),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-vif-au-cabinet-des-chefs-du-tribunal-judiciaire-d-epinal-hf-reference-2023-1377448/,88.0,A
164,164,2157 - Assistant social - MDS Longuyon - H/F - CONSEIL DEPARTEMENTAL DE MEURTHE ET MOSELLE,Fonction publique Territoriale,O054231101242615,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/2157---assistant-social---mds-longuyon---hf---conseil-departemental-de-meurthe-et-moselle-reference-O054231101242615/,54.0,A
165,165,CDD - 2116 Travailleur social ASE - H/F - CONSEIL DEPARTEMENTAL DE MEURTHE ET MOSELLE,Fonction publique Territoriale,O054231101263795,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/cdd---2116-travailleur-social-ase---hf---conseil-departemental-de-meurthe-et-moselle-reference-O054231101263795/,54.0,A
166,166,Adjointe à la directrice du multi-accueil pour la petite-enfance - MAIRIE DE STIRING WENDEL,Fonction publique Territoriale,O057231201291269,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/adjointe-a-la-directrice-du-multi-accueil-pour-la-petite-enfance---mairie-de-stiring-wendel-reference-O057231201291269/,57.0,A
167,167,Un médecin clinicien (H/F) à THIONVILLE - CONSEIL DEPARTEMENTAL DE LA MOSELLE,Fonction publique Territoriale,O057231201299797,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/un-medecin-clinicien-hf-a-thionville---conseil-departemental-de-la-moselle-reference-O057231201299797/,57.0,A
168,168,PEA danse contemporaine (H/F) - Communauté d'agglomération Ardenne Métropole,Fonction publique Territoriale,O008240101320736,Ardennes (08),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/pea-danse-contemporaine-hf---communaute-d-agglomeration-ardenne-metropole-reference-O008240101320736/,8.0,A
169,169,Chef du service Ressources (H/F) - Mairie de TROYES,Fonction publique Territoriale,O010240101320704,Aube (10),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-du-service-ressources-hf---mairie-de-troyes-reference-O010240101320704/,10.0,A
170,170,DIRECTEUR - DIRECTRICE DE LA CAISSE DES ÉCOLES - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101320586,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur---directrice-de-la-caisse-des-coles---eurometropole-de-strasbourg-reference-O067240101320586/,67.0,A
171,171,RESPONSABLE EMPLOI - F/H - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101320447,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-emploi---fh---eurometropole-de-strasbourg-reference-O067240101320447/,67.0,A
172,172,Une ou un Gestionnaire de Cas MAIA - F/H - (Poste A 4561) - COLLECTIVITE EUROPEENNE D'ALSACE,Fonction publique Territoriale,O067240101320380,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-gestionnaire-de-cas-maia---fh---poste-a-4561---collectivite-europeenne-d-alsace-reference-O067240101320380/,67.0,A
173,173,Postdoctorant en physique expérimentale du neutrino sur l’expérience ESSnuSB+ H/F,Fonction publique de l'État,UMR7178-REGSOM-174,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/postdoctorant-en-physique-experimentale-du-neutrino-sur-lexperience-essnusb-hf-reference-UMR7178-REGSOM-174/,67.0,A
174,174,Directeur-trice d'établissement dédié aux femmes victimes de violences et leurs enfants (h/f) - NANCY,Fonction publique Territoriale,O054240101321078,Meurthe et Moselle (54),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-trice-d-etablissement-dedie-aux-femmes-victimes-de-violences-et-leurs-enfants-hf---nancy-reference-O054240101321078/,54.0,A
175,175,Développeur Formation professionnelle et Développement économique Maison de Région de Metz H/F,Fonction publique Territoriale,O067240101321748,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/developpeur-formation-professionnelle-et-developpement-economique-maison-de-region-de-metz-hf-reference-O067240101321748/,57.0,A
176,176,Directeur général de collectivité ou d'établissement public (h/f) - MAIRIE DE WISSEMBOURG,Fonction publique Territoriale,O067240101321667,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-general-de-collectivite-ou-d-etablissement-public-hf---mairie-de-wissembourg-reference-O067240101321667/,67.0,A
177,177,Un chargé de mission aides aux collectivités à METZ - CONSEIL DEPARTEMENTAL DE LA MOSELLE,Fonction publique Territoriale,O057240101320933,Moselle (57),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/un-charge-de-mission-aides-aux-collectivites-a-metz---conseil-departemental-de-la-moselle-reference-O057240101320933/,57.0,A
178,178,Directeur général de collectivité ou d'établissement public (h/f) - ETAIN,Fonction publique Territoriale,O055240101320445,Meuse (55),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-general-de-collectivite-ou-d-etablissement-public-hf---etain-reference-O055240101320445/,55.0,A
179,179,Infirmier ou infirmière - CCAS REVIGNY SUR ORNAIN,Fonction publique Territoriale,O055240101321508,Meuse (55),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/infirmier-ou-infirmiere---ccas-revigny-sur-ornain-reference-O055240101321508/,55.0,A
180,180,PEA formation musicale (H/F) - Communauté d'agglomération Ardenne Métropole,Fonction publique Territoriale,O008240101320870,Ardennes (08),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/pea-formation-musicale-hf---communaute-d-agglomeration-ardenne-metropole-reference-O008240101320870/,8.0,A
181,181,RESPONSABLE RESSOURCES HUMAINES F/H - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101320503,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-ressources-humaines-fh---eurometropole-de-strasbourg-reference-O067240101320503/,67.0,A
182,182,Un(e) Chef(fe) de Projet : Territoires d'Industrie (H/F - COMMUNAUTE D'AGGLOMERATION D'EPINAL,Fonction publique Territoriale,O088240101320388,Vosges (88),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/une-cheffe-de-projet--territoires-d-industrie-hf---communaute-d-agglomeration-d-epinal-reference-O088240101320388/,88.0,A
183,183,Chef de projet ZAE (H/F) - TROYES CHAMPAGNE METROPOLE,Fonction publique Territoriale,O010240101321153,Aube (10),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-zae-hf---troyes-champagne-metropole-reference-O010240101321153/,10.0,A
184,184,Directeur Adjoint Marketing Territorial  - chargé de communication externe (H/F) - Mairie de TROYES,Fonction publique Territoriale,O010240101320581,Aube (10),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-adjoint-marketing-territorial----charge-de-communication-externe-hf---mairie-de-troyes-reference-O010240101320581/,10.0,A
185,185,Chargé des relations institutionnelles Projet Troyes 2030 (H/F) - Mairie de TROYES,Fonction publique Territoriale,O010240101320551,Aube (10),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-des-relations-institutionnelles-projet-troyes-2030-hf---mairie-de-troyes-reference-O010240101320551/,10.0,A
186,186,UNE OU UN CHARGÉ D'AFFAIRES ENVIRONNEMENT TRANSFRONTALIER F/H (POSTE N°67 - SN388),Fonction publique Territoriale,O067240101321277,Bas Rhin (67),2024-01-15,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-charg-d-affaires-environnement-transfrontalier-fh-poste-n67---sn388-reference-O067240101321277/,67.0,A
187,187,Directeur.rice de projets - Contrôle de gestion et évaluation des politiques publiques,Fonction publique Territoriale,O051240101320358,Marne (51),2024-01-14,https://choisirleservicepublic.gouv.fr/offre-emploi/directeurrice-de-projets---controle-de-gestion-et-evaluation-des-politiques-publiques-reference-O051240101320358/,51.0,A
188,188,UN(E) CHARGÉ(E) DE STRATÉGIE ET DÉVELOPPEMENT TERRITORIAL (H/F),Fonction publique Territoriale,O067240101320343,Bas Rhin (67),2024-01-13,https://choisirleservicepublic.gouv.fr/offre-emploi/une-charge-de-stratgie-et-dveloppement-territorial-hf-reference-O067240101320343/,67.0,A
189,189,Chargé de mission Habitat (H/F) - CONSEIL DEPARTEMENTAL DE L'AUBE,Fonction publique Territoriale,O010240101317226,Aube (10),2024-01-13,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-mission-habitat-hf---conseil-departemental-de-l-aube-reference-O010240101317226/,10.0,A
190,190,Chargé(e) de mission Fonds Social Européen,Fonction publique de l'État,2024-1445710,Meurthe et Moselle (54),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-fonds-social-europeen-reference-2024-1445710/,54.0,A
191,191,Chef du département des politiques d'insertion de probation et prévention de la récidive H/F,Fonction publique de l'État,2024-1445643,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-du-departement-des-politiques-d-insertion-de-probation-et-prevention-de-la-recidive-hf-reference-2024-1445643/,67.0,A
192,192,Cadre de Santé EHPAD H/F,Fonction publique Hospitalière,2024-1445512,Haute-Marne (52),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/cadre-de-sante-ehpad-hf-reference-2024-1445512/,52.0,A
193,193,"Chef(fe) du bureau des traitements des PATS, ouvrier, non titulaires et des cultes",Fonction publique de l'État,MINT_BA057SGA-78650,Moselle (57),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/cheffe-du-bureau-des-traitements-des-pats-ouvrier-non-titulaires-et-des-cultes--reference-MINT_BA057SGA-78650/,57.0,A
194,194,1 INFIRMIER(E) H/F,Fonction publique Hospitalière,2024-1445472,Meurthe et Moselle (54),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/1-infirmiere-hf-reference-2024-1445472/,54.0,A
195,195,Responsable des relations internationales,Fonction publique de l'État,2024-1445445,Meurthe et Moselle (54),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-des-relations-internationales-reference-2024-1445445/,54.0,A
196,196,Chef de projet applicatif du système d'information du service public de l'insertion et de l'emploi[...],Fonction publique Territoriale,O067240101319483,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-applicatif-du-systeme-d-information-du-service-public-de-l-insertion-et-de-l-emploi-reference-O067240101319483/,67.0,A
197,197,responsable périscolaire de site  f/h - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101319731,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-periscolaire-de-site--fh---eurometropole-de-strasbourg-reference-O067240101319731/,67.0,A
198,198,Une ou un Responsable du Bureau d'Etudes - F/H - (poste n°A6474) - COLLECTIVITE EUROPEENNE D'ALSACE,Fonction publique Territoriale,O067240101319196,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-responsable-du-bureau-d-etudes---fh---poste-na6474---collectivite-europeenne-d-alsace-reference-O067240101319196/,67.0,A
199,199,ASSISTANT- ASSISTANTE SOCIAL·E DE SECTEUR VOLANT - EUROMETROPOLE DE STRASBOURG,Fonction publique Territoriale,O067240101318940,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/assistant--assistante-sociale-de-secteur-volant---eurometropole-de-strasbourg-reference-O067240101318940/,67.0,A
200,200,Chargé de mission Informations Voyageurs H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101319790,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-mission-informations-voyageurs-hf---region-grand-est-reference-O067240101319790/,67.0,A
201,201,Ingénieur de Recherche en calculs scientifiques (H/F),Fonction publique de l'État,UMR7331-ELOMET-009,Marne (51),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/ingenieur-de-recherche-en-calculs-scientifiques-hf-reference-UMR7331-ELOMET-009/,51.0,A
202,202,EXPERT EXPLOITATION CONFIRME - ADJOINT EQUIPE SYNTHESE - VALIDATION,Fonction publique de l'État,DEF_04-00031705,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/expert-exploitation-confirme---adjoint-equipe-synthese---validation-reference-DEF_04-00031705/,67.0,A
203,203,Un Chef du Service Réalisation des Grands Travaux à METZ - CONSEIL DEPARTEMENTAL DE LA MOSELLE,Fonction publique Territoriale,O057240101319315,Moselle (57),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/un-chef-du-service-realisation-des-grands-travaux-a-metz---conseil-departemental-de-la-moselle-reference-O057240101319315/,57.0,A
204,204,Chef de Projet Stratégique en charge des ruralités en Grand Est H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101320282,Moselle (57),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-strategique-en-charge-des-ruralites-en-grand-est-hf---region-grand-est-reference-O067240101320282/,57.0,A
205,205,Chargé de Mission Cohésion des Territoires H/F  - REGION GRAND EST,Fonction publique Territoriale,O067240101320305,Marne (51),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-mission-cohesion-des-territoires-hf----region-grand-est-reference-O067240101320305/,51.0,A
206,206,Conseiller.ère aux études DNSPM  MASTER  DOCTORAT  ERASMUS et Responsable de l'Action[...],Fonction publique Territoriale,O067240101320245,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/conseillerere-aux-etudes-dnspm--master--doctorat--erasmus-et-responsable-de-l-action-reference-O067240101320245/,67.0,A
207,207,"Chargé.e de mission projets transversaux auprès de la direction du développement économique, du[...]",Fonction publique Territoriale,O051240101319693,Marne (51),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-projets-transversaux-aupres-de-la-direction-du-developpement-economique-du-reference-O051240101319693/,51.0,A
208,208,Chef de Projet Stratégique en charge des ruralités en Grand Est H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101320240,Bas Rhin (67),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-strategique-en-charge-des-ruralites-en-grand-est-hf---region-grand-est-reference-O067240101320240/,67.0,A
209,209,Chef de Projet Stratégique en charge des ruralités en Grand Est H/F - REGION GRAND EST,Fonction publique Territoriale,O067240101320280,Marne (51),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-strategique-en-charge-des-ruralites-en-grand-est-hf---region-grand-est-reference-O067240101320280/,51.0,A
210,210,Assistant de service social polyvalent de secteur (H/F) - Verdun - DEPARTEMENT DE LA MEUSE,Fonction publique Territoriale,O055240101320209,Meuse (55),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/assistant-de-service-social-polyvalent-de-secteur-hf---verdun---departement-de-la-meuse-reference-O055240101320209/,55.0,A
211,211,TRAVAILLEUR SOCIAL POLYVALENT DE SECTEUR MSVS EPINAL 2 - PT_00685,Fonction publique Territoriale,O088240101319200,Vosges (88),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/travailleur-social-polyvalent-de-secteur-msvs-epinal-2---pt00685-reference-O088240101319200/,88.0,A
212,212,Un ou une Puéricultrice de PMI F/H - CDD 6 mois - (Poste n°68-ATAM52),Fonction publique Territoriale,O067231201293344,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/un-ou-une-puericultrice-de-pmi-fh---cdd-6-mois---poste-n68-atam52--reference-O067231201293344/,68.0,A
213,213,UN OU UNE PUÉRICULTRICE DE PMI F/H - CDD 6 MOIS - (POSTE N°68-ATAM53),Fonction publique Territoriale,O067231201293925,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/un-ou-une-puricultrice-de-pmi-fh---cdd-6-mois---poste-n68-atam53-reference-O067231201293925/,68.0,A
214,214,ADJOINT CHEF DIVISION ADMINISTRATION DU PERSONNEL,Fonction publique de l'État,DEF_21-00030354,Moselle (57),2023-11-15,https://choisirleservicepublic.gouv.fr/offre-emploi/adjoint-chef-division-administration-du-personnel-reference-DEF_21-00030354/,57.0,A
215,215,COORDINATRICE MEDICO-SOCIALE MDA-MISSION CLIC SAINT DIE 2 - PT_00025,Fonction publique Territoriale,O088231101267924,Vosges (88),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/coordinatrice-medico-sociale-mda-mission-clic-saint-die-2---pt00025-reference-O088231101267924/,88.0,A
216,216,Chargé de marchés publics (h/f) - COMMUNE DE COLMAR,Fonction publique Territoriale,O068231101275656,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/charge-de-marches-publics-hf---commune-de-colmar-reference-O068231101275656/,68.0,A
217,217,Chargée de Mission Développement économique  - COMMUNAUTE DE COMMUNES DE CATTENOM ET ENVIRONS,Fonction publique Territoriale,O057231201283693,Moselle (57),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/chargee-de-mission-developpement-economique----communaute-de-communes-de-cattenom-et-environs-reference-O057231201283693/,57.0,A
218,218,CHEF DE DEPARTEMENT CLIENTS PROJETS,Fonction publique de l'État,DEF_13-00029789,Moselle (57),2023-11-10,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-departement-clients-projets-reference-DEF_13-00029789/,57.0,A
219,219,RESPONSABLE TERRITORIAL ENFANCE FAMILLE - PT_00084 - CD88 Emploi - CONSEIL DEPARTEMENTAL DES VOSGES,Fonction publique Territoriale,O088231001237504,Vosges (88),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/responsable-territorial-enfance-famille---pt00084---cd88-emploi---conseil-departemental-des-vosges-reference-O088231001237504/,88.0,A
220,220,ANALYSTE RENSEIGNEMENT,Fonction publique de l'État,DEF_15-00027580,Moselle (57),2023-10-16,https://choisirleservicepublic.gouv.fr/offre-emploi/analyste-renseignement-reference-DEF_15-00027580/,57.0,A
221,221,Juriste marchés et contrats publics - spécificité animation du réseau d'acheteurs (H/F),Fonction publique Territoriale,O055230801168991,Meuse (55),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/juriste-marches-et-contrats-publics---specificite-animation-du-reseau-d-acheteurs-hf-reference-O055230801168991/,55.0,A
222,222,Une ou un Assistant de service social polyvalent F/H (Poste n°68-2569),Fonction publique Territoriale,O067230801172970,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-assistant-de-service-social-polyvalent-fh-poste-n68-2569-reference-O067230801172970/,68.0,A
223,223,Une ou un Assistant de service social polyvalent F/H (Poste n°68-831),Fonction publique Territoriale,O067230801172952,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-assistant-de-service-social-polyvalent-fh-poste-n68-831-reference-O067230801172952/,68.0,A
224,224,Une ou un Assistant de service social polyvalent F/H (Poste n°68-168),Fonction publique Territoriale,O067231001209426,Haut Rhin (68),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/une-ou-un-assistant-de-service-social-polyvalent-fh-poste-n68-168-reference-O067231001209426/,68.0,A
225,225,PMI-1055-Un conseiller conjugal et familial - CONSEIL DEPARTEMENTAL DES ARDENNES,Fonction publique Territoriale,O008230901175148,Ardennes (08),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/pmi-1055-un-conseiller-conjugal-et-familial---conseil-departemental-des-ardennes-reference-O008230901175148/,8.0,A
226,226,Directeur de Pôle Juridique - COMMUNAUTE DE COMMUNES DE CATTENOM ET ENVIRONS,Fonction publique Territoriale,O057230100927959,Moselle (57),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/directeur-de-pole-juridique---communaute-de-communes-de-cattenom-et-environs-reference-O057230100927959/,57.0,A
227,227,Educateur de jeunes enfants (h/f) - MALZEVILLE,Fonction publique Territoriale,O054221200884943,Meurthe et Moselle (54),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/educateur-de-jeunes-enfants-hf---malzeville-reference-O054221200884943/,54.0,A
228,228,Référent Technique Aide Sociale à l'Enfance (H/F)  Territoire Sud - DEPARTEMENT DE LA MEUSE,Fonction publique Territoriale,O055230300973639,Meuse (55),2024-01-12,https://choisirleservicepublic.gouv.fr/offre-emploi/referent-technique-aide-sociale-a-l-enfance-hf--territoire-sud---departement-de-la-meuse-reference-O055230300973639/,55.0,A
229,229,CHEF DE PROJET ET ADJOINT AU CHEF PMO ANTENNE CHALONS,Fonction publique de l'État,DEF_27-00019491,Marne (51),2023-03-23,https://choisirleservicepublic.gouv.fr/offre-emploi/chef-de-projet-et-adjoint-au-chef-pmo-antenne-chalons-reference-DEF_27-00019491/,51.0,A
